TON;POS EOAT;Cavitation;Layout (row x columns);Vertical pitch;Horizontal pitch;Tmax (max thread diameter);Largest Z diameter;Largest body diameter;Min preform lenght;Max preform lenght
500;4;200;20x10;50;110;30;35;30;60;405
500;3;200;20x10;50;110;30;35;30;60;405
500;2;200;20x10;50;110;30;35;30;60;405
500;4;180;18x10;50;110;30;24;18,5;60;405
500;3;180;18x10;50;110;30;33,5;27,5;60;405
500;2;180;18x10;50;110;30;35;30;60;405
500;4;144;18x8;50;140;30;34;27,5;60;405
500;3;144;18x8;50;140;30;35;30;60;405
500;2;144;18x8;50;140;30;35;30;60;405
500;4;128;16x8;56;140;38;34;27,5;60;405
500;3;128;16x8;56;140;38;43;35;60;405
500;2;128;16x8;56;140;38;34;30;60;405
500;4;128;16x8;50;140;30;34;27,5;60;405
500;3;128;16x8;50;140;30;35;30;60;405
500;2;128;16x8;50;140;30;35;30;60;405
500;4;96;16x6;63,5;160;43;37;30;60;405
500;3;96;16x6;63,5;160;43;50;43;60;405
500;2;96;16x6;63,5;160;43;48;40;60;405
500;4;96;12x8;60;140;40;34;27,5;60;405
500;3;96;12x8;60;140;40;43;38;60;405
500;2;96;12x8;60;140;40;34;27,5;60;405
500;4;96;16x6;50;155;30;35;30;60;405
500;3;96;16x6;50;155;30;35;30;60;405
500;2;96;16x6;50;155;30;35;30;60;405
500;4;72;12x6;75;170;50;40;32;60;405
500;3;72;12x6;75;170;50;54;47;60;405
500;2;72;12x6;75;170;50;55;50;60;405
500;4;72;12x6;50;140;30;34;27,5;60;405
500;3;72;12x6;50;120;30;35;30;60;405
500;4;48;12x4;85;180;63;43;35;60;405
500;3;48;12x4;85;180;63;57;50;60;405
500;2;48;12x4;85;180;63;66;59;60;405
500;3;48;12x4;60;140;40;43;38;60;405
500;4;32;8x4;95;190;74;46;37;60;405
500;3;32;8x4;95;190;74;61;53;60;405
500;2;32;8x4;95;190;74;78;69;60;405
500;3;32;12x4;60;140;40;43;38;60;405
500;4;32;12x4;50;130;30;35;30;60;405
500;2;24;6x4;120;260;90;90;90;60;405
500;4;24;6x4;63,5;160;43;37;30;60;405
500;4;24;6x4;60;140;40;34;27,5;60;405
500;4;16;8x2;110;360;80;80;75;60;405
500;3;16;8x2;110;360;80;86;84;60;405
500;2;16;8x2;110;360;80;86;84;60;405
500;3;12;6x4;110;360;80;86;84;60;405
500;4;8;4x2;110;360;80;80;75;60;405
500;3;8;4x2;110;360;80;86;84;60;405
500;2;8;4x2;110;360;80;86;84;60;405
350;4;128;18x8;50;120;30;26;21;60;310
350;3;128;18x8;50;120;30;35;30;60;310
350;2;128;18x8;50;120;30;35;30;60;310
350;4;96;12x8;60;140;40;34;27,5;60;310
350;3;96;12x8;60;140;40;43;38;60;310
350;2;96;12x8;60;140;40;34;30;60;310
350;4;96;16x6;50;140;30;34;27,5;60;310
350;4;96;16x6;50;155;30;35;30;60;310
350;3;96;16x6;50;140;30;35;30;60;310
350;3;96;16x6;50;155;30;35;30;60;310
350;2;96;16x6;50;140;30;35;30;60;310
350;2;96;16x6;50;155;30;35;30;60;310
350;4;84;14x6;50;140;30;34;27,5;60;310
350;3;84;14x6;50;140;30;35;30;60;310
350;2;84;14x6;50;140;30;35;30;60;310
350;4;72;12x6;63,5;160;43;37;30;60;310
350;3;72;12x6;63,5;160;43;48;43;60;310
350;2;72;12x6;63,5;160;43;48;43;60;310
350;4;72;6x4;50;140;30;34;27,5;60;310
350;4;72;6x4;50;120;30;35;30;60;310
350;4;48;8x4;75;170;50;40;32;60;310
350;4;48;8x4;75;240;50;57;50;60;310
350;3;48;8x4;75;170;50;54;47;60;310
350;3;48;8x4;75;240;50;55;50;60;310
350;2;48;8x4;75;170;50;55;50;60;310
350;2;48;8x4;75;240;50;55;50;60;310
350;3;48;6x4;60;140;40;43;38;60;310
350;4;32;8x4;85;180;63;43;35;60;310
350;3;32;8x4;85;180;63;57;50;60;310
350;2;32;8x4;85;180;63;66;59;60;310
350;4;32;12x4;60;140;40;34;27,5;60;310
350;3;32;12x4;50;130;30;35;30;60;310
350;4;24;6x4;95;190;74;46;37;60;310
350;3;24;6x4;95;190;74;61;53;60;310
350;2;24;6x4;95;190;74;78;69;60;310
350;3;24;6x4;63,5;160;43;48;43;60;310
350;3;24;6x4;60;140;40;43;38;60;310
350;4;16;8x2;110;360;80;80;75;60;310
350;3;16;8x2;110;360;80;86;84;60;310
350;2;16;8x2;110;360;80;86;84;60;310
350;3;12;12x4;110;360;80;86;84;60;310
350;4;8;4x2;110;360;80;80;75;60;310
350;3;8;4x2;110;360;80;86;84;60;310
350;2;8;4x2;110;360;80;86;84;60;310
250;4;96;12x8;50;110;30;24;18,5;60;270
250;4;96;12x8;50;120;30;26;21;60;270
250;3;96;12x8;50;110;30;33,5;27,5;60;270
250;3;96;12x8;50;120;30;35;30;60;270
250;2;96;12x8;50;110;30;35;30;60;270
250;2;96;12x8;50;120;30;35;30;60;270
250;4;84;14x6;50;140;30;34;27,5;60;270
250;3;84;14x6;50;140;30;35;30;60;270
250;2;84;14x6;50;140;30;35;30;60;270
250;4;72;12x6;60;140;40;34;27,5;60;270
250;3;72;12x6;60;140;40;43;38;60;270
250;2;72;12x6;60;140;40;34;27,5;60;270
250;4;72;12x6;50;155;30;35;30;60;270
250;3;72;12x6;50;155;30;35;30;60;270
250;3;72;12x6;50;140;30;35;30;60;270
250;3;72;12x6;50;120;30;35;30;60;270
250;2;72;12x6;50;155;30;35;30;60;270
250;4;48;12x4;63,5;160;43;37;30;60;270
250;3;48;12x4;63,5;160;43;48;43;60;270
250;2;48;12x4;63,5;160;43;48;43;60;270
250;3;48;12x4;60;140;40;43;38;60;270
250;4;32;8x4;75;170;50;40;32;60;270
250;3;32;8x4;75;170;50;54;47;60;270
250;2;32;8x4;75;170;50;55;50;60;270
250;3;32;12x4;60;140;40;43;38;60;270
250;2;32;12x4;50;130;30;35;30;60;270
250;4;24;6x4;85;180;63;43;35;60;270
250;3;24;6x4;85;180;63;57;50;60;270
250;2;24;6x4;85;180;63;66;59;60;270
250;2;24;6x4;63,5;160;43;48;40;60;270
250;2;24;6x4;60;140;43;48;40;60;270
250;4;16;8x2;95;190;74;46;37;60;270
250;3;16;8x2;95;190;74;61;53;60;270
250;2;16;8x2;95;190;74;78;69;60;270
250;4;8;4x2;140;240;110;108;108;60;270
250;3;8;4x2;140;240;110;108;108;60;270
250;2;8;4x2;140;240;110;108;108;60;270
160;3;60;10x6;50;110;30;29;30;60;205
160;3;48;12x4;50;140;30;35;30;60;205
160;3;32;8x4;63,5;160;43;43;40;60;205
160;3;24;6x4;75;170;50;50;50;60;205
160;3;16;4x4;85;180;63;63;56;60;205
160;3;12;6x2;95;190;74;74;69;60;205
160;2;8;4x2;120;210;90;90;90;60;205
160;2;6;3x2;140;240;110;108;108;60;205
160;2;2;2x1;220;0;140;140;140;60;205
