TON;Injector;Extruder;Clamp force;Machine weight (without mold);Tie bar spacing [mm x mm];Opening stroke ;Mould build-in height;Max open daylight;Ejector stroke;Parallelism tolerance of clamp platens;Machine standard color;Screw type;Extruder screw diameter;Max plastic throughput;Plunger type;Plunger cylinder diameter;Min shot size;Max shot size
160;P85;EE85;1600;22750;620 x 620;550;500 Ð 1050;1300;Max 180;<0.15;RAL 7015, RAL 5012;EE85;85;500;P85;85;220;2280
250;P95;EE85;2800;36000;780 x 780;600;500 Ð 1050;1650;Max 180;<0.15;RAL 7015, RAL 5012;EE85;85;500;P95;95;410;2300
250;P95;EE120;2800;36000;780 x 780;600;500 Ð 1050;1650;Max 180;<0.15;RAL 7015, RAL 5012;EE120;120;1050;P95;95;410;2300
250;P95;EE100;2800;36000;780 x 780;600;500 Ð 1050;1650;Max 180;<0.15;RAL 7015, RAL 5012;EE100;100;730;P95;95;410;2300
250;P105;EE120;2800;36000;780 x 780;600;500 Ð 1050;1650;Max 180;<0.15;RAL 7015, RAL 5012;EE120;120;1050;P105;105;510;2850
250;P105;EE100;2800;36000;780 x 780;600;500 Ð 1050;1650;Max 180;<0.15;RAL 7015, RAL 5012;EE100;100;730;P105;105;510;2850
350;P125;EE140;3500;47500;920 x 920;700;500 Ð 1100;1800;Max 180;<0.15;RAL 7015, RAL 5012;EE140;140;1350;P125;125;720;6000
350;P125;EE120;3500;47500;920 x 920;700;500 Ð 1100;1800;Max 180;<0.15;RAL 7015, RAL 5012;EE120;120;1050;P125;125;720;6000
350;P125;EE100;3500;47500;920 x 920;700;500 Ð 1100;1800;Max 180;<0.15;RAL 7015, RAL 5012;EE100;100;730;P125;125;720;6000
350;P105;EE140;3500;47500;920 x 920;700;500 Ð 1100;1800;Max 180;<0.15;RAL 7015, RAL 5012;EE140;140;1350;P105;105;510;2850
350;P105;EE120;3500;47500;920 x 920;700;500 Ð 1100;1800;Max 180;<0.15;RAL 7015, RAL 5012;EE120;120;1050;P105;105;510;2850
350;P105;EE100;3500;47500;920 x 920;700;500 Ð 1100;1800;Max 180;<0.15;RAL 7015, RAL 5012;EE100;100;730;P105;105;510;2850
500;P140;EE155;5000;53000;1050 x 1160;860;550 - 930;1790;Max 180;<0.15;RAL 7015, RAL 5012;EE155;155;1700;P140;140;900;9000
500;P140;EE140;5000;53000;1050 x 1160;860;550 - 930;1790;Max 180;<0.15;RAL 7015, RAL 5012;EE140;140;1350;P140;140;900;9000
500;P125;EE140;5000;53000;1050 x 1160;860;550 - 930;1790;Max 180;<0.15;RAL 7015, RAL 5012;EE140;140;1350;P125;125;720;6000
500;P125;EE120;5000;53000;1050 x 1160;860;550 - 930;1790;Max 180;<0.15;RAL 7015, RAL 5012;EE120;120;1050;P125;125;720;6000
500;P125;EE100;5000;53000;1050 x 1160;860;550 - 930;1790;Max 180;<0.15;RAL 7015, RAL 5012;EE100;100;730;P125;125;720;6000
500;P105;EE140;5000;53000;1050 x 1160;860;550 - 930;1790;Max 180;<0.15;RAL 7015, RAL 5012;EE140;140;1350;P105;105;510;2850
500;P105;EE120;5000;53000;1050 x 1160;860;550 - 930;1790;Max 180;<0.15;RAL 7015, RAL 5012;EE120;120;1050;P105;105;510;2850
500;P125;EE155;5000;53000;1050 x 1160;860;550 - 930;1790;Max 180;<0.15;RAL 7015, RAL 5012;EE155;155;1700;P125;125;720;6000
