TON;Extruder;throughput;Injector;gpot
160;EE85;500;P85;3000
250;EE85;500;P95;3500
250;EE120;1050;P95;3500
250;EE100;730;P95;3500
250;EE120;1050;P105;4200
250;EE100;730;P105;4200
350;EE140;1350;P125;6000
350;EE120;1050;P125;6000
350;EE100;730;P125;6000
350;EE140;1350;P105;4200
350;EE120;1050;P105;4200
350;EE100;730;P105;4200
500;EE155;1700;P140;9000
500;EE140;1350;P140;9000
500;EE140;1350;P125;6000
500;EE120;1050;P125;6000
500;EE100;730;P125;6000
500;EE140;1350;P105;4200
500;EE120;1050;P105;4200
500;EE155;1700;P125;6000


